listing_id,date
294281,2014-12-24
294281,2014-12-31
294281,2015-01-30
294281,2015-03-02
294281,2015-03-23
4271250,2016-05-04
4271250,2016-05-09
4271250,2016-05-12
4271250,2016-05-15
4271250,2016-05-18
4271250,2016-05-25
4271250,2016-05-28
4271250,2016-06-01
4271250,2016-06-08
294281,2015-04-24
294281,2015-05-23
294281,2015-07-10
294281,2015-07-20
4271250,2016-07-11
4271250,2016-07-16
4271250,2016-07-16
4271250,2016-07-28
4271250,2016-08-02
4271250,2016-08-07
4271250,2016-08-17
294281,2015-08-12
294281,2015-08-15
294281,2015-08-26
294281,2015-09-10
294281,2015-09-16
294281,2015-10-17
4271250,2016-08-20
4271250,2016-08-24
4271250,2016-08-29
4271250,2016-09-12
4271250,2016-09-20
4271250,2016-09-29
4271250,2016-10-01
4271250,2016-10-08
4271250,2016-10-12
4271250,2016-10-14
4271250,2016-10-19
4271250,2016-10-20
4271250,2016-10-26
4271250,2016-10-27
4271250,2016-11-04
4271250,2016-11-05
4271250,2016-11-07
4271250,2016-11-15
4271250,2016-11-17
4271250,2016-11-18
4271250,2016-11-27
4271250,2016-12-03
4271250,2016-12-13
4271250,2016-12-17
4271250,2016-12-26
4271250,2016-12-27
4271250,2017-01-01
4271250,2017-01-14
4271250,2017-01-20
4271250,2017-01-26
4271250,2017-02-07
4271250,2017-02-12
4271250,2017-02-21
4271250,2017-02-22
4271250,2017-03-02
4271250,2017-03-13
4271250,2017-03-15
4271250,2017-03-26
4271250,2017-03-29
4271250,2017-04-02
4271250,2017-04-07
4271250,2017-04-25
4271250,2017-04-28
4271250,2017-05-02
4271250,2017-05-02
4271250,2017-05-07
4271250,2017-05-15
294281,2015-12-22
294281,2015-12-28
294281,2016-01-03
294281,2016-01-19
294281,2016-03-18
294281,2016-10-16
294281,2016-12-12
4271250,2017-05-18
4271250,2017-05-29
4271250,2017-06-06
4271250,2017-06-13
4271250,2017-06-18
4271250,2017-06-28
4271250,2017-07-05
294281,2016-12-28
294281,2017-04-24
294281,2017-06-18
294281,2017-06-30
294281,2017-08-05
4271250,2017-07-08
4271250,2017-07-11
4271250,2017-07-14
4271250,2017-07-25
4271250,2017-07-29
4271250,2017-07-31
4271250,2017-08-02
4271250,2017-08-04
4271250,2017-08-15
4271250,2017-08-24
4271250,2017-09-01
4271250,2017-09-07
4271250,2017-09-10
4271250,2017-09-17
4271250,2017-09-22
4271250,2017-10-05
294281,2017-08-10
294281,2017-09-17
4271250,2017-10-14
4271250,2017-10-18
4271250,2017-10-24
4271250,2017-10-27
4271250,2017-10-31
4271250,2017-11-08
4271250,2017-11-17
4271250,2017-11-22
4271250,2017-11-26
4271250,2017-12-02
4271250,2017-12-28
4271250,2018-01-05
4271250,2018-01-06
4271250,2018-01-10
4271250,2018-01-12
294281,2017-10-05
4271250,2018-01-30
4271250,2018-02-02
4271250,2018-02-06
4271250,2018-02-08
4271250,2018-02-24
4271250,2018-02-25
4271250,2018-03-13
4271250,2018-03-17
4271250,2018-03-28
4271250,2018-03-31
4271250,2018-07-07
4271250,2018-07-08
4271250,2018-07-12
4271250,2018-07-18
4271250,2018-07-20
4271250,2018-08-24
4441346,2014-11-18
4441346,2015-02-05
4441346,2015-03-07
4441346,2015-05-05
4441346,2020-01-31
4486217,2014-11-26
294281,2017-10-11
294281,2017-11-04
294281,2017-11-10
294281,2017-11-23
294281,2017-12-15
294281,2018-01-14
294281,2018-01-17
294281,2018-02-11
294281,2018-02-28
294281,2018-03-06
294281,2018-03-29
294281,2018-04-04
294281,2018-04-30
294281,2018-09-17
294281,2018-10-08
294281,2018-10-20
294281,2018-11-24
4486217,2015-01-12
4486217,2015-02-01
4486217,2015-02-13
4486217,2015-05-22
4486217,2015-07-18
4486217,2015-07-27
4486217,2015-08-30
4486217,2018-07-31
294281,2018-12-29
294281,2019-01-26
294281,2019-02-12
294281,2019-03-04
294281,2019-03-24
294281,2019-04-25
294281,2019-05-05
294281,2019-06-29
294281,2019-07-22
294281,2019-08-22
294281,2019-09-05
294281,2019-09-22
294281,2019-09-25
294281,2019-10-24
294281,2019-11-06
294281,2019-11-16
294281,2019-12-08
294281,2020-01-21
324945,2012-07-08
4499317,2014-11-15
4499317,2014-12-05
4499317,2015-01-08
4499317,2015-02-13
4499317,2015-03-31
4499317,2015-05-22
4499317,2015-10-09
4499317,2015-12-11
4499317,2016-03-06
324945,2012-10-15
324945,2012-11-12
324945,2013-04-16
324945,2013-09-27
324945,2013-10-14
324945,2013-12-22
4499317,2016-05-14
4499317,2017-03-03
4499317,2017-04-19
4499317,2017-05-08
4499317,2017-05-20
4499317,2017-06-04
4499317,2017-06-23
4499317,2017-06-30
324945,2014-03-25
324945,2016-01-29
324945,2016-10-03
324945,2017-08-16
324945,2017-11-04
324945,2019-02-02
324945,2019-09-28
324945,2022-03-06
324945,2022-04-04
324945,2022-07-25
324945,2023-09-01
330095,2013-11-14
330095,2014-06-01
330095,2016-08-22
330095,2022-12-10
330095,2023-06-21
330095,2023-09-02
369141,2013-10-03
369141,2013-10-16
369141,2013-10-24
369141,2013-11-18
369141,2014-01-14
369141,2014-02-02
369141,2014-04-11
369141,2014-04-24
369141,2014-07-06
4499317,2017-09-07
4499317,2017-09-24
4499317,2017-10-31
4499317,2017-12-17
4499317,2018-01-14
4499317,2018-01-27
4499317,2018-02-07
4499317,2018-02-22
4499317,2018-04-13
4499317,2018-06-08
4499317,2018-07-14
4499317,2018-07-25
4499317,2018-08-13
4499317,2018-09-08
4499317,2018-09-23
4499317,2018-11-25
4499317,2019-02-18
4499317,2019-05-02
4499317,2019-06-15
